,luwe zijde raamstand - %  (afd 4) - Percentage (%) - averages,PAR Sensor (13D) - PAR (μmol m−2 s−1) - averages,Weather solutions station Pantar Tuinderij - Air pressure (hPa) - averages,Weather solutions station Pantar Tuinderij - Global radiation  (W/m2) - averages,Weather solutions station Pantar Tuinderij - Rain (mm) - averages,Weather solutions station Pantar Tuinderij - Rain probability (%) - averages,Weather solutions station Pantar Tuinderij - Relative humidity (%) - averages,Weather solutions station Pantar Tuinderij - Temperature (°C) - averages,Weather solutions station Pantar Tuinderij - Wind direction () - averages,Weather solutions station Pantar Tuinderij - Wind speed (m/s) - averages,vochtdeficit - g/m³  (afd 4) - Humidity deficit (g/m3) - averages,verwarmingstemp: ber - °C  (afd 4) - Temperature (°C) - averages,ventilatietemp: ber  - °C  (afd 4) - Temperature (°C) - averages,Tafelbuis - °C  (afd 4) - Temperature (°C) - averages,Sensor PMC (21B) - Surface temperature (°C) - averages,Sensor PMC (21B) - Absolute Humidity (g/m3) - averages,Sensor PMC (21B) - Absolute diff. temp. and dewpoint temp. (°C) - averages,Sensor PMC (21B) - Dewpoint (°C) - averages,Sensor PMC (21B) - Humidity (%) - averages,Sensor PMC (21B) - Humidity Deficit (g/m3) - averages,Sensor PMC (21B) - Air temperature (°C) - averages,Sensor PMC (21B) - VPD (kPa) - averages,Sensor kas 4 R (888) - Absolute Humidity (g/m3) - averages,Sensor kas 4 R (888) - Dewpoint (°C) - averages,Sensor kas 4 R (888) - Humidity (%) - averages,Sensor kas 4 R (888) - Humidity Deficit (g/m3) - averages,Sensor kas 4 R (888) - Temperature (°C) - averages,Sensor kas 4 L (073) - Absolute Humidity (g/m3) - averages,Sensor kas 4 L (073) - Dewpoint (°C) - averages,Sensor kas 4 L (073) - Humidity (%) - averages,Sensor kas 4 L (073) - Humidity Deficit (g/m3) - averages,Sensor kas 4 L (073) - Temperature (°C) - averages,Sensor 0013A20041A24464 - ECb (µS/cm) - averages,Sensor 0013A20041A24464 - ECw (µS/cm) - averages,Sensor 0013A20041A24464 - Temp (°C) - averages,Sensor 0013A20041A24464 - VWC (%) - averages,Sendot Zuurstof sensor (5E1) - atmospheric (%) - averages,Sendot Zuurstof sensor (5E1) - battery (V) - averages,Sendot Zuurstof sensor (5E1) - dissolved (mg/L) - averages,Sendot Zuurstof sensor (5E1) - pressure (mB) - averages,Sendot Zuurstof sensor (5E1) - saturation (%sat) - averages,Sendot Zuurstof sensor (5E1) - temperature (°C) - averages,Sendot Fotosynthese efficiency (11B) - battery (V) - averages,Sendot Fotosynthese efficiency (11B) - efficiency (%) - averages,Sendot Fotosynthese efficiency (11B) - f0 (units) - averages,Sendot Fotosynthese efficiency (11B) - fmax (units) - averages,Sendot Fotosynthese efficiency (11B) - par (μmol m−2 s−1) - averages,Schermdoek 1 - %  (afd 4) - Percentage (%) - averages,RV kas - %  (afd 4) - Humidity (%) - averages,kastemperatuur - °C  (afd 4) - Temperature (°C) - averages,kastemperatuur - °C  (afd 1) - Temperature (°C) - averages,bovenbuis - °C  (afd 4) - Temperature (°C) - averages,bovenbuis - °C  (afd 1) - Temperature (°C) - averages,wind zijde raamstand - %  (afd 4) - Percentage (%) - averages,Sensor 0013A20041A0002A NIEUW - co2 (ppm) - averages
2020-09-07 00:00:00,2,0,0,0,0,0,0,0,0,0,2.65,17,22,22,17.3,11.9,3.4,13.9,80.5,2.9,17.3,0.4,11.8,13.8,79.1,3.1,17.5,12.5,14.8,79.8,3.2,18.4,171.6,NaN,18.4,9.5,22.3,3.9,10.2,1019,107.6,17.8,3.8,77.7,55.9,250.5,0,99,83,18.2,18.8,20.5,30,0,594.65
2020-09-07 01:00:00,2,0,1021.2,0,0.1,5,95,11.9,262,1.5,2.52,17,22,21.5,17.1,11.8,3.2,13.8,81.3,2.7,17,0.4,11.4,13.3,79.3,3,16.9,12.2,14.4,79.8,3.1,18,171.1,NaN,18,9.5,22.3,3.9,10.3,1019.2,107.2,17.4,3.8,77.6,56.3,250,0,98.88,83.2,17.7,18.7,20,29.9,0,594.66
2020-09-07 02:00:00,2,0,1021.5,0,0.1,5,100,10.2,233,0.5,2.39,17,22,21,16.8,11.7,3.1,13.7,82,2.6,16.8,0.3,11.1,12.9,79.5,2.9,16.4,11.9,14,79.9,3,17.6,170.5,NaN,17.6,9.5,22.2,3.9,10.3,1020.2,106.8,16.9,3.8,77.1,57,248.9,0,98.73,84,17.3,18.5,19.5,29.6,0,603.97
2020-09-07 03:00:00,2.2,0,1021.4,0,0,5,100,10.2,217,1,2.3,17,22.2,21.2,16.8,11.7,3,13.7,82.5,2.5,16.7,0.3,10.8,12.5,79.6,2.8,16,11.7,13.7,79.8,3,17.2,169.7,NaN,17.2,9.5,22.1,3.9,10.4,1019.7,106.5,16.6,3.8,77.2,56.7,248.5,0,76.52,84.1,16.9,18.4,19,30.1,0,610.8
2020-09-07 04:00:00,3.6,0,1021.4,0,0,5,100,10.2,202,1,2.07,17,22,26,16.4,11.7,2.7,13.7,84.1,2.2,16.4,0.3,10.6,12.2,81.1,2.5,15.4,11.3,13.1,80.7,2.7,16.4,168.7,NaN,16.6,9.5,22.1,3.9,10.5,1019.2,106.4,16.1,3.8,76.9,57.5,247.8,0,0,85.3,16.4,17.7,26,30.9,0,620.42
2020-09-07 05:00:00,2,0,1021.3,0,0,5,100,10.3,188,1,2.55,17,22,29.2,16.9,12.2,2.4,14.3,85.8,2,16.7,0.3,11.6,13.5,80.7,2.8,16.9,12.1,14.2,80.6,2.9,17.6,167.5,NaN,17,9.5,22.2,3.9,10.2,1019,106.7,17.3,3.8,77.1,56.1,246.6,0,0,83.4,17.8,18,30.3,37.1,0,627.39
2020-09-07 06:00:00,3.2,0.62,1021.5,0,0,5,100,10.4,185,1.5,2.5,17,22,29.9,17.3,12.6,2.3,14.8,86.3,2,17.1,0.3,12.1,14.3,80.4,3,17.7,12.6,15,80.5,3.1,18.4,297.9,NaN,17.8,15,21.7,3.9,9.8,1019.4,104.7,18.6,3.8,75.2,60.4,244.1,0,0,84.3,18.6,18.2,31.1,37.3,0,629.2
2020-09-07 07:00:00,4.8,20.56,1021.6,0,0,5,98,11.1,188,1.5,2.12,17,22,30.3,18.3,13.2,2.3,15.6,86.7,2,17.8,0.3,13.1,15.6,81.2,3,18.9,13.4,15.9,80.4,3.3,19.4,586.2,4918.2,18.7,25.6,19.3,3.9,8.6,1019.9,93.2,19.5,3.8,58.7,82.3,200.4,8,0,87.3,19.4,18.8,31.6,37.1,0,659.07
2020-09-07 08:00:00,4.4,95.11,1021.8,98.6,0,5,94,12.5,192,2.1,2.71,17,22,27,19.9,13.2,3.7,15.7,79.4,3.5,19.4,0.5,14.7,17.5,77.2,4.4,21.7,14.8,17.6,76.6,4.6,22,627.5,4889.7,19.8,26.9,16.3,3.9,7.2,1021,78.6,19.9,3.8,45.6,97.5,180.3,43.5,0,85.2,21,20.1,29.8,37,0,651.83
2020-09-07 09:00:00,7.8,164.92,1022.1,116.7,0,5,87,14.5,199,3.1,4.13,17,22,27,20.8,12.4,5.6,14.8,70.4,5.2,20.4,0.7,15.5,18.5,70.9,6.4,24.1,15.5,18.5,69.6,6.8,24.4,644.4,4893,21.3,27.4,13.2,3.9,5.7,1021.3,63.6,20.5,3.8,38.3,104.3,168.7,73.6,0,79.2,22.3,20.7,28,33.8,0,608.48
